event_id,sport,category,event
8e65c9b4-67e2-4dfb-aaf2-5317921d2aaf,Ice Hockey,Kazakhstan,Torpedo Ust-Kamenogorsk (youth) - Yastreby Uralsk (youth)
63e58362-4d35-4add-9c55-dfbb905441a5,Tennis,ATP,Cabal Juan Sebastian/Farah Robert - Fritz Taylor/Paul Tommy
c1782d1d-8090-4a93-ae3a-632b63388f3f,Tennis,ATP,De Minaur Alex - Paul Tommy
80604a08-90b0-471b-be45-4b042338a8ee,Tennis,ATP,Munar Jaume - Fritz Taylor
800352d3-1724-4510-9777-9c6ef0027009,E-Sports,Counter-Strike,Impression - AVEZ
1d8f576d-8010-4ab2-9736-40f0cedac607,E-Sports,Counter-Strike,ESCA - Sioguns
d89f2608-1b68-4e4d-a831-e897d6441a9c,Table Tennis,Russia,"Moshkov Ivan - Minchenkov, Mihail"
fd31419d-453f-44d8-bddd-6b8e5ea1c319,E-Sports,Dota 2,Motivate.Trust - ChubbyBoiz
5649adde-083d-48ff-b4bf-5080c184d7d5,Table Tennis,Russia,Selkin Vladimir - Anisimov Evgeny
48b7e01f-7d2f-4b32-a997-b8724b2e4148,Table Tennis,Ukraine,Nechiporuk Vadim - Hrytsyienko Nazar
e2f75240-4024-4747-be41-cec8d3e14e17,E-Sports,Dota 2,TNC Predator - UD Vessuwan
48d024f6-03f9-4db2-aaa7-90be270c429c,Table Tennis,Russia,Khomutov Sergey - Tsvetkov Vyacheslav
08339a20-5cdd-4423-9160-21833e74b92e,Table Tennis,Russia,Batalov Anatoly - Arutiunyan Artem
b985a3ae-db69-4c16-8036-c2552e540329,Table Tennis,Russia,Klavdenkov Aleksandr - Moshkov Ivan
f7a47d5f-a994-4ef0-a270-b65edb50e0ae,Table Tennis,ITTF,Sun Yingsha/Wang Manyu - Jeon Ji Hee/Yang Ha Eun
e0bb60ac-2e50-45dd-a379-1425291e14f2,Table Tennis,Russia,Alekseev Aleksandr - Kharlakin Oleg
6cbadf14-27a6-442a-9dc5-f09b3c7f6a3f,Table Tennis,Ukraine,Vachta Dmitry - Nechiporuk Vadim
498fd3a4-eb37-4632-816c-779a5d0f2ddf,Football,Israel,Maccabi Yavne Shimon U-19 - Maccabi Ironi Ashdod U-19
